id;tipo_cliente;matricula;nome_completo;foto;foto_content_type;data_nascimento;sexo;estado_civil;escolaridade;convenio;num_carteirinha_convenio;data_validade_convenio;procedencia;profissao;cpf;rg;telefone_1;telefone_2;email;logradouro_nome;logradouro_numero;logradouro_complemento;bairro;cep;cidade;estado;parentesco_responsavel;parentesco_responsavel_financeiro;data_hora_cadastro;ativo;observacao
1;PACIENTE;transformXX;Assistant New Jersey enterprise;../fake-data/blob/hipster.png;image/png;2020-12-07;M;CASADO;EFC;UNIMED_CE;Vermont Keys;2020-12-07;INTERNET;synthesize Specialist;;Bedfordshire;"29019021";" 2765-612";"^>$@!`yeO.9_2i]d";China Unbranded Rubber Soap protocol;depos;National sticky;Investment Account client-driv;;Table microchip Legacy;DF;AMIGO;AVO;2020-12-08T06:40:15;true;Fantastic Steel Bike Configuration
2;PACIENTE;LodgeXXXXXX;Sleek Frozen Table Mozambique parallelism;../fake-data/blob/hipster.png;image/png;2020-12-07;F;UNIAO_ESTAVEL;DOU;OUTRO;Trinidad and Tobago ;2020-12-07;INDICACAO_PACIENTE;interface Configurable Handcrafted Cotton Pizza;;bottom-line Ber;" 264004";"5308201";"}a-@;$/FE:.p";Tunisian Dinar;ADP;Maine IB;Technician;;Credit Card Account user-centr;BA;AVO;OUTURO;2020-12-08T06:37:32;false;Architect
3;OUTRO;IndianaXXXX;Dynamic Rustic calculating;../fake-data/blob/hipster.png;image/png;2020-12-07;F;SOLTEIRO;DOU;UNIMED_CE;bypassing;2020-12-07;ENCAMINHAMENTO_MEDICO;zero tolerance redefine;;Director;"(017) 93019610;" 7745-108";"#zE3N@Yo'.WPGmip";Baby Buckinghamshire Interactions;infra;ROI;bus distributed brand;;Michigan Georgia Ergonomic Ste;ES;TIO;AMIGO;2020-12-08T04:57:55;false;quantify
4;OUTRO;Incredible ;Indiana;../fake-data/blob/hipster.png;image/png;2020-12-08;M;VIUVO;EFI;UNIMED_CE;Colorado mobile;2020-12-08;OUTRO;Berkshire port;;JSON multi-task;"5463-205";"197 285-8078";"0p@U.Qo]y_";Pizza Games;optic;attitude;Web incremental;;open-source;PB;AVO;OUTURO;2020-12-07T17:29:59;true;application
5;OUTRO;Bedfordshir;Refined Fresh Ball Village;../fake-data/blob/hipster.png;image/png;2020-12-08;M;VIUVO;EFC;UNIMED_CE;Alabama;2020-12-07;OUTRO;alarm;;Berkshire virtu;" 01586491";"(49)7090-100";"/h6|fv@?-i.z}3,gJ";JBOD Highway;Web s;Distributed Garden Cliff;Licensed Generic;;bypass Unbranded;PB;CONJUGE;CONJUGE;2020-12-08T01:46:18;false;drive Pizza
6;PACIENTE;executiveXX;back up;../fake-data/blob/hipster.png;image/png;2020-12-07;M;UNIAO_ESTAVEL;ESI;UNIMED_CE;Horizontal;2020-12-07;OUTRO;Branding sensor Borders;;overriding;" 04728824";;"X8@9mH'%.?ok<}";olive withdrawal Interactions;emula;Unbranded Chief;system Trinidad and Tobago;;SQL programming array;PB;CONJUGE;OUTURO;2020-12-07T11:39:14;false;program Swedish Krona
7;OUTRO;Group Manag;Cambridgeshire;../fake-data/blob/hipster.png;image/png;2020-12-08;F;OUTRO;PGI;OUTRO;Corporate Sleek Wood;2020-12-08;OUTRO;Movies PCI;;harness PCI;"(327)2712-2265;;"3=YXL8@jL.GSoHF5";Principal SDD Movies;conte;dynamic Rustic;Djibouti Managed Manor;;Argentine Peso Handcrafted Sof;AC;PAI;AVO;2020-12-07T16:46:03;true;West Virginia Handmade Soft Shirt South Dakota
8;PACIENTE;SecurityXXX;Rial Omani;../fake-data/blob/hipster.png;image/png;2020-12-07;F;OUTRO;DOU;UNIMED_CE;bricks-and-clicks;2020-12-07;OUTRO;Small Soft Fish;;backing up Ball;"8832-6961";"44 998-3443";"wqb@/3.4-";Luxembourg;depos;Intranet Investment Account;Tuna mesh motivating;;EXE Corporate website;PA;PAI;PAI;2020-12-08T03:23:59;true;Wyoming Director out-of-the-box
9;OUTRO;Codes speci;Sports SCSI;../fake-data/blob/hipster.png;image/png;2020-12-07;F;DIVORCIADO;ESC;OUTRO;Pizza program;2020-12-07;ENCAMINHAMENTO_MEDICO;Alaska;;unleash;"197095";"(757)63879702";"4ACS@=.tO&";Maryland;Tenne;wireless;optical;;visionary;SP;TIO;MAE;2020-12-07T21:37:20;true;e-tailers
10;PACIENTE;optimalXXXX;Hawaii;../fake-data/blob/hipster.png;image/png;2020-12-07;M;VIUVO;ESC;UNIMED_CE;overriding Cotton Ge;2020-12-07;OUTRO;utilisation;;Kina Quality Ca;"97814979";"(64) 5787-842";"{Ov,@30W?Ac.C(/{";relationships;Repre;Unbranded Cotton Chair;Sausages;;microchip next generation digi;AP;CONJUGE;TIO;2020-12-07T11:08:41;false;Analyst olive
