id;tipo_pessoa;numero_cpf;numero_cnpj;nome;nome_fantasia;email;telefone_1;telefone_2;logradouro_nome;logradouro_numero;logradouro_complemento;bairro;cep;cidade;estado;observacao
1;F;;;West Virginia Concrete 1080p;middleware;"O[W/0@Cvm.Km";" 4056785";"798-288";Oregon payment connect;Berk;Faroe Islands Industrial;hard drive schemas;;productize Auto Loan Account;SP;Arkansas
2;F;;;Tuvalu;Computers hack schemas;"nhg:_@|aXLH.mQ{S9`";"(860)042-2714";"9651-651";Music impactful;paym;Croatian Kuna;Practical transparent Bedfords;;EXE Roads port;DF;multimedia empower sensor
3;F;;;Colorado;emulation;"hjr@MTxZ/.G/RxDd";"032 646645";"2454-025";Concrete Car;Prac;Zambian Kwacha;index;;Coves Division bluetooth;AC;granular Cross-group
4;J;;;Awesome Soft Fish dynamic;Fish Tactics Square;"A@{o$O.+";"99 6177-7364";"(03) 24708867";tan synthesizing frame;onli;Granite navigating Representative;olive Avon Avon;;Licensed Steel Soap RSS;SE;pixel Lilangeni
5;J;;;capacitor Glens;Global olive;"pB@{r*j.Mt#";"51672317";"(757)7818682";deposit;arch;Accountability;Associate;;Uruguay Investment Account;SC;quantify Optimization
6;J;;;Innovative Refined;Expanded 1080p synthesize;"&.;%@v91Z.>|G";"7059405";"5643-806";Human TCP;redu;mindshare programming;magenta Corporate Skyway;;Licensed;MA;hack silver
7;F;;;Maine;Berkshire invoice;".R@^.69M";"286993";"700 380-044";Consultant Gibraltar Pound Games;Inve;Frozen GB copy;methodical;;Open-architected Fresh;RS;Corporate Utah
8;F;;;systems;Nauru;"g3!@|~0t}+.-`FV)";"85594267";"(457) 0465129";hacking Knoll hacking;HTTP;haptic vertical;1080p e-commerce;;Enhanced pink;RO;Sleek Granite Computer Metal
9;J;;;Cambridgeshire Bike Fish;Designer;"MPgmDU@.86.i";"(89) 133787";"71 20302745";Pennsylvania blue;Berk;Senegal;capacity Synergized Concrete;;Distributed;MA;Fantastic Dynamic
10;J;;;User-friendly;embrace HTTP Licensed;"U,:iv@t1&hI?.1";"0682-544";"62126967";Technician explicit New Zealand;Virg;Unbranded reintermediate yellow;Hryvnia Iowa;;Incredible Cotton Chair;RS;Cameroon Gloves optical
